,English,Hindi
1525,Popular coursesFree CertificatesIvy LeagueStanfordBest of All TimeComputer ScienceSustainabilityMITGoogleAmazonBusinessBest Courses GuidesDeals and Discounts ,None
1531,"        Find the best courses, wherever they exist",None
1532,      ,None
1540,~1000 Universities,None
1545,Harvard University,None
1551,Stanford University,None
1557,IIT Kharagpur,None
1563,MIT,None
1569,Rice University,None
1575,IIT Madras,None
1581,Columbia University,None
1587,Cornell University,None
1593,U. of Edinburgh,None
1599,Purdue University,None
1605,U. of Pennsylvania,None
1611,Duke University,None
1617,U. of Michigan,None
1624,              Browse universities,None
1625,            ,None
1630,70 Providers,None
1635,Coursera,None
1641,edX,None
1647,FutureLearn,None
1653,Udemy,None
1659,Swayam,None
1665,LinkedIn Learning,None
1671,Skillshare,None
1678,              Browse providers,None
1679,            ,None
1684,600+ Institutions,None
1689,Google,None
1695,Amazon,None
1701,Microsoft,None
1707,IBM,None
1713,Smithsonian,None
1719,United Nations,None
1725,British Council,None
1732,              Browse institutions,None
1733,            ,None
1748,        Rankings,None
1749,      ,None
1751,        Tens of thousands of reviews written by Class Central users help you pick the best course.,None
1752,      ,None
1769,          View rankings,None
1770,        ,None
1777,As seen in,None
1794,National Public Radio,None
1798,CNBC,None
1853,        Get the most out of Class Central with a,None
1854,        ,None
1855,          free account,None
1856,        ,None
1860,50M,None
1861,visitors,None
1864,3M,None
1865,sign-ups,None
1869,"13,460 sign ups in the past 7 days",None
1870,        ,None
1875,30M,None
1877,            follows,None
1878,          ,None
1880,"53,803 follows in the past 7 days",None
1881,            ,None
1884,13M,None
1886,            bookmarks,None
1887,          ,None
1889,"58,591 courses bookmarked in the past 7 days",None
1890,            ,None
1893,700k,None
1895,            lists created,None
1896,          ,None
1898,"11,464 lists created in the past 7 days",None
1899,            ,None
1908,      Get the latest news and analysis in online education.,None
1914,        Recent articles,None
1915,        RSS Feed,None
1928,"                    Udemy Lays Off ~200 Staff, After Being Only Major Player to Avoid Layoffs in 2022",None
1929,                  ,None
1933,By Dhawal Shah,None
1934,"Feb 15th, 2023",None
1945,                    Harvard CS50 Guide: How to Pick the Right Course (with Free Certificate),None
1946,                  ,None
1950,By Manoel Cortes Mendez,None
1951,"Feb 7th, 2023",None
1962,                    Massive List of Chinese Online Course Platforms in 2023,None
1963,                  ,None
1967,By Rui Ma,None
1968,"Feb 6th, 2023",None
1979,"                    FutureLearn Under New Leadership Expands Paywall, Restricts Course Binging",None
1980,                  ,None
1984,By Pat Bowden,None
1985,"Jan 31st, 2023",None
1996,"                    202K Courses, 662M Enrollments: Breaking Down Udemy’s Massive Catalog",None
1997,                  ,None
2001,By Dhawal Shah,None
2002,"Jan 25th, 2023",None
2013,"                    Domestika, the Online Learning Unicorn, Closes Global Offices and Downsizes Staff by 40%",None
2014,                  ,None
2018,By Dhawal Shah,None
2019,"Jan 23rd, 2023",None
2030,"                    Thinkific Lays Off 75 More Employees, After the 100 of Last March",None
2031,                  ,None
2035,By Dhawal Shah,None
2036,"Jan 16th, 2023",None
2047,"                    Udemy CEO to Retire, Replaced by President of Udemy Business",None
2048,                  ,None
2052,By Dhawal Shah,None
2053,"Jan 11th, 2023",None
2064,                    Harvard CS50 in 2023: How to Get a Free Certificate,None
2065,                  ,None
2069,By Manoel Cortes Mendez,None
2070,"Jan 9th, 2023",None
2079,Best Courses Guides,None
2090,                9 Best DaVinci Resolve Courses,None
2091,              ,None
2094,Archisha Bhar,None
2095,"Feb 14th, 2023",None
2108,                6 Best Free Prolog Courses,None
2109,              ,None
2112,Elham Nazif,None
2113,"Feb 13th, 2023",None
2126,                10 Best Japanese Courses,None
2127,              ,None
2130,Archisha Bhar,None
2131,"Feb 8th, 2023",None
2144,                7 Best Erlang Courses,None
2145,              ,None
2148,Elham Nazif,None
2149,"Feb 7th, 2023",None
2162,                10 Best CSS Animation Courses,None
2163,              ,None
2166,Kinjal Vora,None
2167,"Feb 6th, 2023",None
2177,        More on The Report,None
2186,        Browse our popular curated collections,None
2224,          Browse collections,None
2225,        ,None
2237,Home,None
2241,                          Home,None
2242,                      ,None
2248,                Browse by subject,None
2249,              ,None
2252,Computer Science,None
2255,Psychology,None
2258,Cybersecurity,None
2261,Health,None
2264,Law,None
2267,Accounting,None
2270,Web Development,None
2276,                Browse by provider,None
2277,              ,None
2280,Coursera,None
2283,edX,None
2286,FutureLearn,None
2289,Udacity,None
2292,Swayam,None
2295,Udemy,None
2298,LinkedIn Learning,None
2304,                Browse by university,None
2305,              ,None
2308,Harvard,None
2311,Stanford,None
2314,Georgia Tech,None
2317,University of Michigan,None
2320,Purdue University,None
2323,Duke University,None
2326,IIT Madras,None
2334,                Browse by institution,None
2335,              ,None
2338,Google,None
2341,Microsoft,None
2344,IBM,None
